Time,Native,Flutter,React Native
1, 147.000, 147.000, 147.000
2, 147.000, 147.000, 147.000
3, 147.000, 147.000, 147.000
4, 147.000, 147.000, 147.000
5, 147.000, 147.000, 147.000
6, 147.000, 147.000, 147.000
7, 147.000, 147.000, 147.000
8, 147.000, 147.000, 147.000
9, 147.000, 147.000, 147.000
10, 147.000, 147.000, 147.000
"Average",147.0,147.0,147.0
"Max",147.0,147.0,147.0
"Min",147.0,147.0,147.0
"SD",0.00,0.00,0.00
