Number,Start charge counter,End charge counter,Delta charge counter
1,4342000,4302000,-40000
2,4384000,4340000,-44000
3,4406000,4338000,-68000
4,4396000,4356000,-40000
5,4390000,4328000,-62000
6,4416000,4358000,-58000
7,4420000,4368000,-52000
8,4406000,4354000,-52000
9,4378000,4334000,-44000
10,4394000,4328000,-66000
