Number,Start charge counter,End charge counter,Delta charge counter
1,4428000,4382000,-46000
2,4470000,4426000,-44000
3,4458000,4414000,-44000
4,4428000,4384000,-44000
5,4384000,4308000,-76000
6,4366000,4316000,-50000
7,4344000,4298000,-46000
8,4378000,4336000,-42000
9,4460000,4388000,-72000
10,4458000,4416000,-42000
