UI,Native,Flutter,React Native
1,-44000,-40000,-64000
2,-46000,-44000,-54000
3,-24000,-68000,-66000
4,-44000,-40000,-72000
5,-54000,-62000,-56000
6,-44000,-58000,-60000
7,-46000,-52000,-62000
8,-66000,-52000,-60000
9,-54000,-44000,-54000
10,-54000,-66000,-72000
"Average",-47600.0,-52600.0,-62000.0
"Max",-24000,-40000,-54000
"Min",-66000,-68000,-72000
"SD",10307.28,10002.00,6260.99
