Number,CPU usage percentage average,RAM usage percentage average,RSS occupancy average
1,12.673141891891891,3.399549549549536,193.6891891891892
2,12.678666666666667,3.399555555555542,194.64
3,12.702354260089686,3.393721973094157,192.40358744394618
4,12.651833333333332,3.296444444444436,186.67555555555555
5,12.630301339285714,3.1946428571428642,180.66964285714286
6,12.590431415929203,3.292477876106186,185.6637168141593
7,12.684497816593886,3.1938864628821038,180.63318777292577
8,12.646763392857142,3.099107142857156,176.64285714285714
9,12.611725663716815,3.492035398230089,197.50442477876106
10,12.630396475770924,3.2964757709251016,187.41850220264317
