UI,Native,Flutter,React Native
1,-46000,-44000,-88000
2,-44000,-82000,-80000
3,-44000,-78000,-84000
4,-44000,-44000,-80000
5,-76000,-78000,-84000
6,-50000,-76000,-86000
7,-46000,-82000,-84000
8,-42000,-66000,-86000
9,-72000,-46000,-84000
10,-42000,-76000,-86000
"Average",-50600.0,-67200.0,-84200.0
"Max",-42000,-44000,-80000
"Min",-76000,-82000,-88000
"SD",11934.82,15341.45,2441.31
