Number,Start charge counter,End charge counter,Delta charge counter
1,4382000,4294000,-88000
2,4350000,4270000,-80000
3,4342000,4258000,-84000
4,4342000,4262000,-80000
5,4372000,4288000,-84000
6,4342000,4256000,-86000
7,4342000,4258000,-84000
8,4344000,4258000,-86000
9,4342000,4258000,-84000
10,4348000,4262000,-86000
