Number,Start charge counter,End charge counter,Delta charge counter
1,4386000,4342000,-44000
2,4420000,4374000,-46000
3,4342000,4318000,-24000
4,4428000,4384000,-44000
5,4360000,4306000,-54000
6,4398000,4354000,-44000
7,4436000,4390000,-46000
8,4442000,4376000,-66000
9,4440000,4386000,-54000
10,4440000,4386000,-54000
